epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,88.086,0.73697,0.52983,0.87262,1,0.81802,0.85164,0.58286,1.18001,0.94113,0.98188,0.0011948,0.0011948,0.0011948
124,88.8341,0.98583,0.83942,1.02757,1,0.8442,0.88008,0.58042,1.26918,0.91677,1.01788,0.0011882,0.0011882,0.0011882
125,89.6358,0.78162,0.57281,0.95352,1,0.8442,0.88008,0.58042,1.26918,0.91677,1.01788,0.0011816,0.0011816,0.0011816
126,87.7616,0.76713,0.5839,0.91085,1,0.84278,0.87032,0.58497,1.24092,0.91307,1.00568,0.001175,0.001175,0.001175
127,88.4343,0.76745,0.53722,0.88845,1,0.84278,0.87032,0.58497,1.24092,0.91307,1.00568,0.0011684,0.0011684,0.0011684
128,89.1446,0.80161,0.57212,0.91957,1,0.80974,0.85415,0.56195,1.25506,0.96726,1.00739,0.0011618,0.0011618,0.0011618
129,89.8212,0.79947,0.60973,0.87118,1,0.80974,0.85415,0.56195,1.25506,0.96726,1.00739,0.0011552,0.0011552,0.0011552
130,90.6089,0.7683,0.63743,0.89701,1,0.78453,0.83044,0.55336,1.25857,1.0119,1.01052,0.0011486,0.0011486,0.0011486
131,91.3174,0.83001,0.53271,0.94741,1,0.78453,0.83044,0.55336,1.25857,1.0119,1.01052,0.001142,0.001142,0.001142
132,92.0316,0.75863,0.51301,0.87794,1,0.78523,0.82667,0.55913,1.25448,0.98753,1.00398,0.0011354,0.0011354,0.0011354
133,92.8591,0.79991,0.63607,0.96168,1,0.78523,0.82667,0.55913,1.25448,0.98753,1.00398,0.0011288,0.0011288,0.0011288
134,93.623,0.75597,0.54266,0.85084,0.99987,0.78571,0.82001,0.56946,1.22436,1.02243,0.99026,0.0011222,0.0011222,0.0011222
135,94.3021,0.80701,0.52228,0.90243,0.99987,0.78571,0.82001,0.56946,1.22436,1.02243,0.99026,0.0011156,0.0011156,0.0011156
136,95.0214,0.70848,0.50583,0.86452,0.99866,0.78571,0.81128,0.56915,1.18215,0.98699,0.98487,0.001109,0.001109,0.001109
137,95.6996,0.76288,0.53012,0.88453,0.99866,0.78571,0.81128,0.56915,1.18215,0.98699,0.98487,0.0011024,0.0011024,0.0011024
138,96.4207,0.72685,0.50072,0.85326,0.99855,0.78571,0.79777,0.56041,1.21012,1.00238,0.99216,0.0010958,0.0010958,0.0010958
139,97.073,0.86704,0.53632,0.95715,0.99855,0.78571,0.79777,0.56041,1.21012,1.00238,0.99216,0.0010892,0.0010892,0.0010892
140,97.7802,0.8408,0.56436,0.8832,0.99695,0.78571,0.80532,0.55729,1.20546,1.01966,0.99079,0.0010826,0.0010826,0.0010826
141,98.478,0.76697,0.4974,0.88711,0.99695,0.78571,0.80532,0.55729,1.20546,1.01966,0.99079,0.001076,0.001076,0.001076
142,99.18,0.67275,0.53854,0.8943,0.99742,0.78571,0.80162,0.56067,1.21824,1.00344,0.99381,0.0010694,0.0010694,0.0010694
143,99.8559,0.74999,0.53276,0.88233,0.99742,0.78571,0.80162,0.56067,1.21824,1.00344,0.99381,0.0010628,0.0010628,0.0010628
144,100.574,0.79999,0.52839,0.90213,0.99822,0.78571,0.81796,0.57757,1.21483,0.95322,0.99545,0.0010562,0.0010562,0.0010562
145,101.352,0.70879,0.48025,0.87765,0.99822,0.78571,0.81796,0.57757,1.21483,0.95322,0.99545,0.0010496,0.0010496,0.0010496
146,102.128,0.71481,0.4832,0.87486,0.99769,0.78571,0.82662,0.57455,1.20376,0.90778,0.99678,0.001043,0.001043,0.001043
147,102.804,0.75196,0.51642,0.88032,0.99769,0.78571,0.82662,0.57455,1.20376,0.90778,0.99678,0.0010364,0.0010364,0.0010364
148,103.494,0.70211,0.46394,0.88499,0.99765,0.78571,0.82508,0.57278,1.23686,0.93836,1.00539,0.0010298,0.0010298,0.0010298
149,104.146,0.85434,0.5137,0.88953,0.99765,0.78571,0.82508,0.57278,1.23686,0.93836,1.00539,0.0010232,0.0010232,0.0010232
150,104.824,0.76967,0.53432,0.87015,0.99762,0.78571,0.81457,0.5568,1.2343,0.93762,0.9923,0.0010166,0.0010166,0.0010166
151,105.555,0.93367,0.60008,0.89401,0.99762,0.78571,0.81457,0.5568,1.2343,0.93762,0.9923,0.00101,0.00101,0.00101
152,106.267,0.7387,0.48933,0.88275,0.99707,0.78571,0.79357,0.53775,1.23211,0.95635,1.00423,0.0010034,0.0010034,0.0010034
153,106.945,0.7903,0.55394,0.87144,0.99707,0.78571,0.79357,0.53775,1.23211,0.95635,1.00423,0.0009968,0.0009968,0.0009968
154,107.665,0.70399,0.4922,0.8821,0.99714,0.78571,0.79069,0.52202,1.24738,0.98346,1.01336,0.0009902,0.0009902,0.0009902
155,108.349,0.74794,0.5415,0.87007,0.99714,0.78571,0.79069,0.52202,1.24738,0.98346,1.01336,0.0009836,0.0009836,0.0009836
156,109.037,0.8162,0.54394,0.94204,0.99774,0.78571,0.78984,0.52668,1.24098,0.98276,1.00581,0.000977,0.000977,0.000977
157,109.682,0.67664,0.46974,0.84084,0.99774,0.78571,0.78984,0.52668,1.24098,0.98276,1.00581,0.0009704,0.0009704,0.0009704
158,110.373,0.71043,0.47385,0.88535,0.99778,0.78571,0.78895,0.53888,1.29134,1.03114,1.02287,0.0009638,0.0009638,0.0009638
159,111.009,0.83429,0.55945,0.86668,0.99778,0.78571,0.78895,0.53888,1.29134,1.03114,1.02287,0.0009572,0.0009572,0.0009572
